epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,23739.4,1.18136,0.92274,1.16341,0.82987,0.74041,0.8242,0.58122,1.05991,0.78819,1.10247,0.005842,0.005842,0.005842
44,24291.8,1.17712,0.9209,1.16259,0.83413,0.7396,0.82543,0.58231,1.05883,0.78596,1.10246,0.005743,0.005743,0.005743
45,24844.5,1.17799,0.92105,1.15904,0.83128,0.74254,0.8256,0.58252,1.05704,0.78346,1.10091,0.005644,0.005644,0.005644
46,25396.8,1.1799,0.91481,1.15771,0.83256,0.74339,0.82663,0.5838,1.05798,0.78157,1.1012,0.005545,0.005545,0.005545
47,25949.9,1.17475,0.91465,1.15955,0.83449,0.74354,0.82696,0.58518,1.05678,0.77917,1.09991,0.005446,0.005446,0.005446
48,26501.6,1.17156,0.90691,1.15457,0.83742,0.74314,0.82898,0.5863,1.05479,0.77648,1.09847,0.005347,0.005347,0.005347
49,27054.5,1.16653,0.89725,1.15385,0.83767,0.74192,0.82934,0.58677,1.05271,0.77396,1.09704,0.005248,0.005248,0.005248
50,27607.1,1.16285,0.90174,1.15149,0.8403,0.74119,0.83048,0.58867,1.05054,0.77232,1.09539,0.005149,0.005149,0.005149
51,28160.4,1.16126,0.88964,1.15001,0.83268,0.74435,0.83065,0.58916,1.04872,0.77189,1.09391,0.00505,0.00505,0.00505
52,28712.7,1.16198,0.89061,1.14892,0.82905,0.74698,0.83112,0.58967,1.04819,0.77172,1.093,0.004951,0.004951,0.004951
53,29265.4,1.16246,0.88858,1.14986,0.83055,0.74839,0.83197,0.59018,1.04731,0.77069,1.09242,0.004852,0.004852,0.004852
54,29817.5,1.1612,0.88933,1.15036,0.82851,0.74996,0.83212,0.59076,1.04591,0.76935,1.09186,0.004753,0.004753,0.004753
55,30369.7,1.15562,0.88242,1.14857,0.83459,0.74794,0.83187,0.5917,1.0457,0.76868,1.09165,0.004654,0.004654,0.004654
56,30920.7,1.15209,0.87724,1.14313,0.83881,0.74532,0.83232,0.59207,1.0443,0.76763,1.09054,0.004555,0.004555,0.004555
57,31472.8,1.1513,0.88029,1.14577,0.84068,0.74518,0.83294,0.59332,1.04309,0.76559,1.0898,0.004456,0.004456,0.004456
58,32119.5,1.14447,0.87233,1.14068,0.83537,0.74953,0.83364,0.59349,1.04183,0.76427,1.08905,0.004357,0.004357,0.004357
59,32779.9,1.14476,0.8718,1.13856,0.83539,0.75098,0.83457,0.59374,1.0408,0.76301,1.08806,0.004258,0.004258,0.004258
60,33369.5,1.14331,0.86742,1.13967,0.83288,0.75477,0.83505,0.59412,1.04029,0.76177,1.08755,0.004159,0.004159,0.004159
61,33919.6,1.14001,0.86426,1.13516,0.83757,0.75063,0.8352,0.59479,1.03968,0.76072,1.08701,0.00406,0.00406,0.00406
62,34468.9,1.13701,0.85983,1.13423,0.83792,0.7522,0.83561,0.59502,1.03874,0.75944,1.08621,0.003961,0.003961,0.003961
63,35017.7,1.13176,0.85631,1.13083,0.83905,0.75021,0.83594,0.59525,1.03808,0.75798,1.08565,0.003862,0.003862,0.003862
64,35566.4,1.13549,0.85354,1.13115,0.83985,0.75158,0.83697,0.59611,1.03729,0.75695,1.085,0.003763,0.003763,0.003763
65,36115.2,1.13523,0.8522,1.13381,0.84009,0.75234,0.83709,0.5969,1.03643,0.75617,1.08437,0.003664,0.003664,0.003664
66,36664.3,1.12802,0.85049,1.13082,0.84037,0.75347,0.8374,0.5973,1.0357,0.75515,1.08378,0.003565,0.003565,0.003565
67,37212.8,1.12744,0.84544,1.12992,0.83975,0.75481,0.83794,0.59815,1.03502,0.75419,1.08328,0.003466,0.003466,0.003466
68,37761.4,1.1239,0.84376,1.12852,0.83954,0.75469,0.83789,0.5985,1.03425,0.75342,1.08274,0.003367,0.003367,0.003367
69,38309.8,1.12641,0.84167,1.12819,0.84181,0.75294,0.83794,0.59897,1.03351,0.75253,1.0822,0.003268,0.003268,0.003268
70,38858.5,1.12428,0.83471,1.12752,0.84046,0.75404,0.83796,0.59918,1.03297,0.75182,1.08184,0.003169,0.003169,0.003169
71,39407.3,1.11771,0.83065,1.12176,0.83892,0.75573,0.83833,0.59939,1.0328,0.75077,1.08169,0.00307,0.00307,0.00307
72,39957.2,1.11893,0.83288,1.12533,0.84039,0.75543,0.83853,0.59952,1.03224,0.75012,1.08129,0.002971,0.002971,0.002971
73,40506.4,1.10973,0.82376,1.11752,0.84119,0.75516,0.83918,0.6002,1.03176,0.74946,1.0808,0.002872,0.002872,0.002872
74,41055.4,1.10979,0.82623,1.11781,0.84017,0.75653,0.83954,0.60093,1.03122,0.74887,1.08025,0.002773,0.002773,0.002773
75,41604.2,1.1113,0.82066,1.11981,0.84074,0.75732,0.84015,0.6015,1.0307,0.74815,1.07988,0.002674,0.002674,0.002674
76,42153.3,1.10553,0.81863,1.11557,0.84048,0.75713,0.84033,0.60198,1.03028,0.74744,1.07956,0.002575,0.002575,0.002575
77,42701.5,1.1017,0.81327,1.11299,0.84399,0.75412,0.84061,0.60262,1.02988,0.74669,1.07926,0.002476,0.002476,0.002476
78,43251.2,1.1053,0.81287,1.11663,0.84378,0.7553,0.84078,0.60301,1.02941,0.74581,1.07897,0.002377,0.002377,0.002377
79,43800.4,1.10164,0.81201,1.11386,0.84237,0.75647,0.84121,0.60317,1.02873,0.74502,1.07856,0.002278,0.002278,0.002278
80,44350.2,1.09519,0.80491,1.11195,0.84221,0.75618,0.84076,0.60329,1.02815,0.74432,1.07819,0.002179,0.002179,0.002179
81,44899,1.09319,0.79893,1.11155,0.84346,0.75574,0.84105,0.6034,1.02773,0.74352,1.07793,0.00208,0.00208,0.00208
82,45447.9,1.09408,0.80156,1.11025,0.8442,0.75416,0.84116,0.60365,1.02744,0.74281,1.07775,0.001981,0.001981,0.001981
83,45996.7,1.08815,0.79632,1.10887,0.84417,0.7555,0.84155,0.60395,1.02702,0.74208,1.07743,0.001882,0.001882,0.001882
84,46545.9,1.0892,0.78925,1.10494,0.8444,0.75461,0.84181,0.60431,1.02654,0.7413,1.07705,0.001783,0.001783,0.001783
85,47095.3,1.08735,0.78961,1.10423,0.84691,0.75311,0.84186,0.6046,1.02594,0.74037,1.07672,0.001684,0.001684,0.001684
86,47644,1.08652,0.78931,1.10628,0.84771,0.7533,0.84234,0.60498,1.02543,0.73952,1.07643,0.001585,0.001585,0.001585
87,48193.8,1.07686,0.7855,1.10177,0.84794,0.75361,0.84269,0.60517,1.02485,0.73873,1.07608,0.001486,0.001486,0.001486
88,48754.8,1.08477,0.78865,1.10572,0.84879,0.75376,0.84297,0.60555,1.02435,0.7379,1.07568,0.001387,0.001387,0.001387
89,49304.5,1.07577,0.77926,1.10227,0.84828,0.75422,0.84328,0.60601,1.02363,0.73719,1.07515,0.001288,0.001288,0.001288
90,49854.7,1.07253,0.77809,1.09831,0.85001,0.75419,0.84334,0.60631,1.02311,0.73617,1.0748,0.001189,0.001189,0.001189
91,50409.8,1.04017,0.71768,1.09071,0.84977,0.75377,0.84333,0.60654,1.02247,0.73537,1.07437,0.00109,0.00109,0.00109
92,50954.4,1.02954,0.70387,1.08534,0.84832,0.75455,0.84358,0.60699,1.02176,0.73449,1.07392,0.000991,0.000991,0.000991
93,51499.4,1.02864,0.70033,1.08349,0.84636,0.75529,0.84371,0.60719,1.02124,0.73337,1.07362,0.000892,0.000892,0.000892
94,52044.5,1.02064,0.69369,1.08063,0.84765,0.75585,0.84403,0.60739,1.02058,0.73245,1.07324,0.000793,0.000793,0.000793
95,52589.5,1.02038,0.69152,1.08059,0.847,0.7568,0.84412,0.60766,1.01996,0.7314,1.07308,0.000694,0.000694,0.000694
96,53140.7,1.01385,0.68661,1.07806,0.84585,0.75818,0.84441,0.60802,1.01924,0.73038,1.07269,0.000595,0.000595,0.000595
97,53716.1,1.0132,0.68082,1.07895,0.8455,0.75938,0.84462,0.60829,1.01839,0.72943,1.0722,0.000496,0.000496,0.000496
98,54261,1.00914,0.6802,1.07576,0.84541,0.75957,0.84499,0.60878,1.01771,0.72844,1.07186,0.000397,0.000397,0.000397
99,54807.2,1.00422,0.67623,1.07286,0.84811,0.75837,0.8451,0.60897,1.01706,0.72751,1.07144,0.000298,0.000298,0.000298
100,55351.9,1.00456,0.67372,1.07093,0.84787,0.7594,0.84564,0.60947,1.01646,0.72658,1.07105,0.000199,0.000199,0.000199
